c11,c12,c21,c22,q1,q2,q3,q4
199.0,306.0,215.0,303.0,91.0,58.0,116.0,89.0
336.0,245.0,185.0,283.0,95.0,56.0,109.0,99.0
336.0,246.0,140.0,272.0,90.0,61.0,109.0,49.0
335.0,244.0,182.0,279.0,134.0,68.0,109.0,27.0
228.0,306.0,247.0,266.0,98.0,64.0,118.0,139.0
333.0,297.0,227.0,304.0,103.0,57.0,104.0,139.0
117.0,274.0,337.0,230.0,106.0,49.0,95.0,85.0
105.0,292.0,308.0,241.0,105.0,55.0,101.0,96.0
99.0,311.0,308.0,238.0,102.0,59.0,115.0,96.0
119.0,321.0,269.0,251.0,102.0,64.0,128.0,96.0
145.0,323.0,283.0,252.0,100.0,57.0,115.0,99.0
143.0,322.0,282.0,253.0,87.0,61.0,117.0,86.0
31.0,253.0,279.0,220.0,115.0,50.0,94.0,91.0
31.0,253.0,279.0,220.0,114.0,51.0,99.0,77.0
125.0,314.0,269.0,245.0,102.0,57.0,111.0,87.0
110.0,315.0,269.0,246.0,91.0,60.0,116.0,79.0
273.0,313.0,269.0,246.0,92.0,59.0,116.0,78.0
111.0,322.0,191.0,249.0,105.0,63.0,123.0,86.0
109.0,323.0,187.0,247.0,107.0,54.0,114.0,99.0
109.0,323.0,255.0,239.0,104.0,70.0,129.0,104.0
51.0,312.0,243.0,229.0,96.0,57.0,113.0,102.0
128.0,331.0,177.0,271.0,98.0,64.0,128.0,75.0
190.0,315.0,288.0,271.0,98.0,54.0,113.0,86.0
119.0,316.0,206.0,213.0,106.0,62.0,115.0,86.0
109.0,320.0,207.0,211.0,106.0,62.0,116.0,86.0
109.0,322.0,196.0,211.0,106.0,62.0,115.0,86.0
113.0,319.0,206.0,213.0,106.0,62.0,115.0,86.0
108.0,319.0,203.0,213.0,102.0,62.0,117.0,87.0
110.0,317.0,207.0,210.0,102.0,59.0,118.0,87.0
112.0,327.0,207.0,210.0,102.0,59.0,118.0,75.0
112.0,327.0,207.0,210.0,102.0,68.0,116.0,58.0
112.0,316.0,208.0,213.0,106.0,64.0,110.0,88.0
112.0,316.0,208.0,212.0,106.0,62.0,116.0,88.0
110.0,320.0,208.0,212.0,93.0,62.0,116.0,100.0
220.0,308.0,286.0,217.0,93.0,66.0,114.0,100.0
225.0,311.0,298.0,223.0,99.0,66.0,114.0,100.0
225.0,310.0,295.0,273.0,99.0,59.0,111.0,100.0
290.0,246.0,126.0,293.0,106.0,0.0,162.0,162.0
256.0,248.0,186.0,305.0,90.0,63.0,120.0,89.0
249.0,256.0,147.0,296.0,90.0,63.0,120.0,62.0
